ticker,Date,num_mentions
BABA,08-01,605
BABA,09-01,473
BABA,10-01,119
BABA,12-01,488
BAC,01-01,20
BAC,02-01,18
BAC,03-01,16
BAC,04-01,21
BAC,05-01,4
BAC,06-01,15
BAC,07-01,30
BAC,08-01,3
BAC,09-01,2
BAC,10-01,4
BAH,01-01,14
BAH,02-01,3
BAH,03-01,6
BAH,05-01,3
BAK,02-01,1
BAK,05-01,2
BAL,03-01,2
BALY,02-01,7
BAM,01-01,12
BAM,02-01,8
BAM,03-01,11
BAM,04-01,4
BAM,05-01,5
BAM,06-01,9
BAM,07-01,2
BAM,08-01,3
BAM,09-01,5
BAM,12-01,2
BAND,02-01,12
BAND,03-01,2
BAND,04-01,2
BAND,05-01,1
BAND,06-01,3
BAND,07-01,1
BAND,08-01,1
BAND,09-01,3
BAP,06-01,1
BAR,01-01,2
BAR,02-01,2
BAR,03-01,2
BAR,04-01,1
BAR,06-01,3
BAR,12-01,2
BARK,06-01,88
BARK,07-01,5
BARK,08-01,8
BARK,09-01,3
BARK,10-01,4
BASE,09-01,1
BATT,01-01,2
BATT,02-01,2
BB,01-01,27746
BB,02-01,7734
BB,03-01,1528
BB,04-01,1323
BB,05-01,1492
BB,06-01,16799
BB,07-01,591
BB,08-01,577
BB,09-01,712
BB,10-01,94
BB,12-01,34
BBAR,01-01,4
BBBY,01-01,990
BBBY,02-01,138
BBBY,03-01,14
BBBY,04-01,2
BBBY,05-01,8
BBBY,06-01,134
BBBY,07-01,37
BBBY,08-01,8
BBBY,09-01,39
BBBY,10-01,52
BBBY,12-01,94
BBC,01-01,80
BBC,02-01,40
BBC,03-01,44
BBC,04-01,3
BBC,05-01,5
BBC,06-01,19
BBC,12-01,8
BBD,01-01,4
BBD,02-01,4
BBD,03-01,7
BBD,06-01,2
BBGI,06-01,19
BBI,01-01,4
BBIG,04-01,3
BBIG,06-01,3
BBIG,08-01,2
BBIG,09-01,8
BBIG,10-01,1
BBIO,05-01,1
BBL,02-01,1
BBL,05-01,1
BBL,06-01,1
BBL,08-01,3
BBQ,01-01,14
BBQ,02-01,10
BBQ,03-01,14
BBQ,04-01,8
BBQ,05-01,9
BBQ,06-01,4
BBQ,07-01,3
BBQ,08-01,3
BBQ,09-01,1
BBSC,02-01,6
BBVA,01-01,12
BBVA,02-01,4
BBW,01-01,6
BBW,02-01,6
BBW,03-01,4
BBW,04-01,1
BBW,05-01,3
BBW,06-01,6
BBW,07-01,2
BBW,08-01,1
BBW,09-01,2
BBWI,08-01,1
BBY,01-01,118
BBY,02-01,36
BBY,03-01,8
BBY,04-01,4
BBY,05-01,2
BBY,06-01,14
BBY,07-01,5
BBY,08-01,1
BBY,09-01,1
BBY,10-01,2
BBY,12-01,22
BC,01-01,22
BC,02-01,36
BC,03-01,13
BC,04-01,3
BC,05-01,8
BC,06-01,10
BC,07-01,1
BC,08-01,1
BC,09-01,3
BCC,01-01,2
BCC,05-01,1
BCD,03-01,1
BCE,02-01,11
BCE,04-01,3
BCH,04-01,2
BCH,06-01,2
BCRX,01-01,10
BCRX,02-01,27
BCRX,03-01,28
BCRX,04-01,9
BCRX,05-01,19
BCRX,06-01,31
BCRX,07-01,3
BCRX,08-01,6
BCRX,09-01,1
BCRX,12-01,2
BCS,01-01,2
BCS,03-01,1
BCS,04-01,2
BCS,05-01,1
BCTX,06-01,15
BDR,01-01,2
BDR,06-01,1
BDRBF,05-01,1
BDRY,02-01,2
BDRY,03-01,1
BDRY,04-01,2
BDRY,06-01,1
BDRY,10-01,2
BEAM,01-01,6
BEAM,02-01,3
BEAM,03-01,4
BEAM,04-01,4
BEAM,06-01,8
BEAM,07-01,3
BEAM,08-01,4
BEAM,09-01,2
BEAT,01-01,26
BEAT,02-01,8
BEEM,02-01,2
BEEM,04-01,1
BEKE,01-01,6
BEKE,03-01,1
BEKE,07-01,1
BEKE,08-01,3
BEKE,09-01,8
BEN,01-01,2
BEN,02-01,2
BEN,03-01,6
BEP,01-01,10
BEP,02-01,9
BEP,03-01,3
BEP,04-01,3
BEP,05-01,3
BEP,06-01,1
BEP,08-01,1
BEPC,01-01,6
BEPC,02-01,5
BEPC,05-01,1
BERY,01-01,28
BERY,02-01,92
BEST,01-01,72
BEST,02-01,70
BEST,03-01,73
BEST,04-01,27
BEST,05-01,18
BEST,06-01,25
BEST,07-01,1
BEST,08-01,7
BEST,09-01,8
